id;name;code
1;Абхазия;AB
2;Австралия;AU
3;Австрия;AT
4;Азербайджан;AZ
5;Албания;AL
6;Алжир;DZ
7;Ангола;AO
8;Андорра;AD
9;Антигуа и Барбуда;AG
10;Аргентина;AR
11;Армения;AM
12;Афганистан;AF
13;Багамские Острова;BS
14;Бангладеш;BD
15;Барбадос;BB
16;Бахрейн;BH
17;Белиз;BZ
18;Белоруссия;BY
19;Бельгия;BE
20;Бенин;BJ
21;Болгария;BG
22;Боливия;BO
23;Босния и Герцеговина;BA
24;Ботсвана;BW
25;Бразилия;BR
26;Бруней;BN
27;Буркина-Фасо;BF
28;Бурунди;BI
29;Бутан;BT
30;Вануату;VU
31;Ватикан;VA
32;Великобритания;GB
33;Венгрия;HU
34;Венесуэла;VE
35;Восточный Тимор;TL
36;Вьетнам;VN
37;Габон;GA
38;Гаити;HT
39;Гайана;GY
40;Гамбия;GM
41;Гана;GH
42;Гватемала;GT
43;Гвинея;GN
44;Гвинея-Бисау;GW
45;Германия;DE
46;Гондурас;HN
47;Государство Палестина;PS
48;Гренада;GD
49;Греция;GR
50;Грузия;GE
51;Дания;DK
52;Джибути;DJ
53;Доминика;DM
54;Доминиканская Республика;DO
55;ДР Конго;CD
56;Египет;EG
57;Замбия;ZM
58;Зимбабве;ZW
59;Израиль;IL
60;Индия;IN
61;Индонезия;ID
62;Иордания;JO
63;Ирак;IQ
64;Иран;IR
65;Ирландия;IE
66;Исландия;IS
67;Испания;ES
68;Италия;IT
69;Йемен;YE
70;Кабо-Верде;CV
71;Казахстан;KZ
72;Камбоджа;KH
73;Камерун;CM
74;Канада;CA
75;Катар;QA
76;Кения;KE
77;Кипр;CY
78;Киргизия;KG
79;Кирибати;KI
80;Китай;CN
81;КНДР;KP
82;Колумбия;CO
83;Коморские Острова;KM
84;Коста-Рика;CR
85;Кот-д'Ивуар;CI
86;Куба;CU
87;Кувейт;KW
88;Лаос;LA
89;Латвия;LV
90;Лесото;LS
91;Либерия;LR
92;Ливан;LB
93;Ливия;LY
94;Литва;LT
95;Лихтенштейн;LI
96;Люксембург;LU
97;Маврикий;MU
98;Мавритания;MR
99;Мадагаскар;MG
100;Малави;MW
101;Малайзия;MY
102;Мали;ML
103;Мальдивские Острова;MV
104;Мальта;MT
105;Марокко;MA
106;Маршалловы Острова;MH
107;Мексика;MX
108;Мозамбик;MZ
109;Молдавия;MD
110;Монако;MC
111;Монголия;MN
112;Мьянма;MM
113;Намибия;NA
114;Науру;NR
115;Непал;NP
116;Нигер;NE
117;Нигерия;NG
118;Нидерланды;NL
119;Никарагуа;NI
120;Новая Зеландия;NZ
121;Норвегия;NO
122;ОАЭ;AE
123;Оман;OM
124;Пакистан;PK
125;Палау;PW
126;Панама;PA
127;Папуа - Новая Гвинея;PG
128;Парагвай;PY
129;Перу;PE
130;Польша;PL
131;Португалия;PT
132;Республика Конго;CG
133;Республика Корея;KR
134;Россия;RU
135;Руанда;RW
136;Румыния;RO
137;Сальвадор;SV
138;Самоа;WS
139;Сан-Марино;SM
140;Сан-Томе и Принсипи;ST
141;Саудовская Аравия;SA
142;Северная Македония;MK
143;Сейшельские Острова;SC
144;Сенегал;SN
145;Сент-Винсент и Гренадины;VC
146;Сент-Китс и Невис;KN
147;Сент-Люсия;LC
148;Сербия;RS
149;Сингапур;SG
150;Сирия;SY
151;Словакия;SK
152;Словения;SI
153;Соломоновы Острова;SB
154;Сомали;SO
155;Судан;SD
156;Суринам;SR
157;США;US
158;Сьерра-Леоне;SL
159;Таджикистан;TJ
160;Таиланд;TH
161;Танзания;TZ
162;Того;TG
163;Тонга;TO
164;Тринидад и Тобаго;TT
165;Тувалу;TV
166;Тунис;TN
167;Туркмения;TM
168;Турция;TR
169;Уганда;UG
170;Узбекистан;UZ
171;Украина;UA
172;Уругвай;UY
173;Федеративные Штаты Микронезии;FM
174;Фиджи;FJ
175;Филиппины;PH
176;Финляндия;FI
177;Франция;FR
178;Хорватия;HR
179;ЦАР;CF
180;Чад;TD
181;Черногория;ME
182;Чехия;CZ
183;Чили;CL
184;Швейцария;CH
185;Швеция;SE
186;Шри-Ланка;LK
187;Эквадор;EC
188;Экваториальная Гвинея;GQ
189;Эритрея;ER
190;Эсватини;SZ
191;Эстония;EE
192;Эфиопия;ET
193;ЮАР;ZA
194;Южная Осетия;OS
195;Южный Судан;SS
196;Ямайка;JM
197;Япония;JP
