
;Valentino джинсы с логотипами и подворотами;Джинсы с логотипами и подворотами от Valentino (Валентино). Ширинка на молнии с пуговицей, петли для ремня и классическая пятикарманная модель. Цвет: синий.;58950;;5;13225133_17119570_1000.jpg.webp
;R13 камуфляжные джинсы с эффектом потертости;Камуфляжные джинсы с эффектом потертости от R13. Ширинка на молнии с пуговицей, петли для ремня и боковые карманы. Цвет: зеленый.;35115;;5;13794808_17046115_1000.jpg.webp
;Saint Laurent состаренные прямые джинсы;Состаренные прямые джинсы от Saint Laurent (Сен Лоран).;33859;;5;13442407_15790976_1000.jpg.webp
;Givenchy прямые джинсы с эффектом потертости;Прямые джинсы с эффектом потертости от Givenchy (Живанши).;33883;;5;13740409_16895006_1000.jpg.webp
;Diesel классические прямые джинсы;Классические прямые джинсы от Diesel (Дизель). Застежка на пуговицы, классическая пятикарманная модель, пояс с петлями для ремня, прямые брючины и бирка с логотипом. Цвет: серый.;12920;;5;13918021_17845797_1000.jpg
;Diesel джинсы Mharky;Джинсы Mharky от Diesel (Дизель). Стандартная длина, средняя посадка, прямые брючины, застежка на пуговице и молнии, два передних кармана, пояс с петлями для ремня и эффект потертости. Цвет: черный.;13618;;5;13912218_17838517_1000.jpg.webp
;AMIRI джинсы кроя слим с эффектом потертости;Джинсы кроя слим с эффектом потертости от Amiri. Цвет: черный.;45283;;5;13245557_16844465_1000.jpg
;Dolce & Gabbana джинсы кроя слим из вареного денима;Dolce & Gabbana представляют новый взгляд на классические модели, которые идеально подойдут как для особого случая, так и для образа в стиле casual. Среди них коричневые джинсы кроя слим из вареного денима от Dolce & Gabbana (Дольче энд Габбана). Модель из эластичного хлопка, средняя посадка, ширинка на молнии с пуговицей, пояс с петлями для ремня, классическая пятикарманная модель, необработанные края и стандартная длина.;25800;;5;14090085_18921035_1000.jpg
;Dolce & Gabbana джинсы кроя слим;Модели Dolce & Gabbana отличает идеальный крой, продуманный декор и высококачественные материалы. В коллекцию вошли кораллово-красные джинсы кроя слим из эластичного хлопка от Dolce & Gabbana (Дольче энд Габбана). Пояс с петлями для ремня, ширинка спереди, узкий крой, стандартная длина, боковые карманы.;29000;;5;13591834_16202956_1000.jpg.webp
;Barba классические джинсы кроя слим;Классические джинсы кроя слим от Barba. Застежка на пуговицы, пояс с петлями для ремня, классическая пятикарманная модель и узкий крой.;12629;;5;13424044_15561905_1000.jpg.webp
;Dondup джинсы кроя слим с эффектом потертости;Джинсы кроя слим с эффектом потертости от Dondup. Эффект потертости, петли для ремня, ширинка на молнии с пуговицей, классическая пятикарманная модель и эластичная модель.;13464;;5;14956057_24677723_1000.jpg
;Dondup джинсы скинни George;Джинсы скинни George от Dondup. Бляшка с логотипом сзади, петли для ремня, ширинка на молнии с пуговицей, классическая пятикарманная модель, эластичная модель и сужающиеся к низу брючины.;13554;;5;14955431_24677707_1000.jpg
;Levi's Vintage Clothing прямые джинсы с завышенной талией;Прямые джинсы с завышенной талией от Levi's Vintage Clothing. Пояс с петлями для ремня, застежка спереди, классическая пятикарманная модель, кожаная заплатка с логотипом сзади, бирка с логотипом и изогнутая деталь. Цвет: синий.;12321;;5;14944816_24554748_1000.jpg
;Dsquared2 джинсы кроя слим с эффектом потертости;"Джинсы кроя слим с эффектом потертости от Dsquared2 (Дискуэд). Эффект ""варенки"", прорванные декоративные детали, средняя посадка, пояс с петлями для ремня, застежка на пуговицах спереди, классическая пятикарманная модель, вставка с логотипом сзади и стандартная длина. Цвет: синий.";36900;;5;14950664_24633885_1000.jpg
;Emporio Armani прямые джинсы;;9625;;5;14949533_24633389_1000.jpg.webp
