
;Undercover свитер с высоким воротником;Свитер с высоким воротником от Undercover. Длинные рукава, эластичные манжеты, свободный крой и подол и манжеты в рубчик. Цвет: красный.;40978;;4;14493030_21836811_1000.jpg
;Balmain худи с логотипом;Худи с логотипом от Balmain (Бальман). Капюшон, затягивающийся на шнурок, длинные рукава и прямой подол. Цвет: черный.;42508;;4;14914642_24509300_1000.jpg.webp
;Juun.J многослойное худи;Многослойное худи от Juun.J. Капюшон, затягивающийся на шнурок, застежка на кнопках, длинные рукава, узкие манжеты и прямой подол. Цвет: черный.;28185;;4;14932985_24599246_1000.jpg.webp
;Neighborhood толстовка с логотипом;Толстовка с логотипом от NEIGHBORHOOD. Круглый вырез под горло, длинные рукава, свободный крой и отделка в рубчик.;16397;;4;14928539_24647669_1000.jpg
;Z Zegna джемпер с круглым вырезом;Джемпер с круглым вырезом от Z Zegna. Круглый вырез под горло, длинные рукава, свободный крой и отделка в рубчик.;16018;;4;14927839_24599132_1000.jpg
;Kenzo джемпер Paris с вышитым логотипом;Джемпер Paris с вышитым логотипом от Kenzo (Кензо). Круглый вырез под горло в рубчик, приспущенные плечи, длинные рукава, подол и манжеты в рубчик и прямой подол.;15658;;4;14948443_24553939_1000.jpg
;Raf Simons худи с вышивкой;Худи с вышивкой от Raf Simons (Раф Симонс). Капюшон, длинные рукава, подол и манжеты в рубчик и графический принт.;20493;;4;14165544_21855505_1000.jpg.webp
;Ami Paris кардиган с нашивкой-логотипом;Кардиган с нашивкой-логотипом от AMI Alexandre Mattiussi. V-образная горловина, застежка на пуговицах спереди, длинные рукава, подол и манжеты в рубчик и контрастный вышитый логотип на груди.;17558;;4;14371257_20939999_1000.jpg
;Balenciaga полосатый кардиган с логотипом;Полосатый кардиган с логотипом от Balenciaga (Баленсиага). V-образная горловина, приспущенные плечи, длинные рукава, застежка на пуговицах спереди, принт с логотипом сзади, ребристая вязка и полосатый узор.;90371;;4;14664742_24394175_1000.jpg.webp
;Loewe толстовка с вышитым логотипом;Толстовка с вышитым логотипом от Loewe. Круглый вырез, длинные рукава и вышитый логотип спереди. Цвет: серый.;27722;;4;14923853_24460720_1000.jpg
;Sacai худи с принтом;Худи с принтом от Sacai. Капюшон на шнурке, длинные рукава, карман-муфта и прямой подол. Цвет: белый.;25528;;4;14923750_24595481_1000.jpg.webp
;Saint Laurent кардиган с контрастными полосками и капюшоном;Кардиган с контрастными полосками и капюшоном от Saint Laurent (Сен Лоран). Потайная застежка спереди, передние карманы, свободный крой и длинные рукава.;82844;;4;14570511_23911329_1000.jpg.webp
;Fiorucci толстовка с принтом;Толстовка с принтом от Fiorucci.;9449;;4;14925941_24512869_1000.jpg
;Raf Simons джемпер с графическим принтом;Джемпер с графическим принтом от Raf Simons (Раф Симонс). Круглый вырез, длинные рукава и свободный крой. Цвет: серый.;28705;;4;13245513_18123609_1000.jpg
;Burberry джемпер с отделкой Icon Stripe;Джемпер с отделкой Icon Stripe от Burberry (Берберри). Круглый вырез под горло в рубчик, длинные рукава и подол и манжеты в рубчик. Цвет: черный.;50700;;4;14727290_23820565_1000.jpg
